step,true_action,ShowAll_choice,ShowAll_cum_rew,ShowAll_cum_reg,MuteAll_choice,MuteAll_cum_rew,MuteAll_cum_reg,RuleBased_choice,RuleBased_cum_rew,RuleBased_cum_reg,LinUCB_Tab_choice,LinUCB_Tab_cum_rew,LinUCB_Tab_cum_reg,LinUCB_Sem_choice,LinUCB_Sem_cum_rew,LinUCB_Sem_cum_reg
1,MUTE,NOW,0,1,MUTE,1,0,MUTE,1,0,NOW,0,1,NOW,0,1
2,BATCH,NOW,0,2,MUTE,1,1,BATCH,2,0,NOW,0,2,MUTE,0,2
3,BATCH,NOW,0,3,MUTE,1,2,BATCH,3,0,MUTE,0,3,BATCH,1,2
4,NOW,NOW,1,3,MUTE,1,3,BATCH,3,1,BATCH,0,4,BATCH,1,3
5,MUTE,NOW,1,4,MUTE,2,3,MUTE,4,1,MUTE,1,4,MUTE,2,3
6,NOW,NOW,2,4,MUTE,2,4,BATCH,4,2,NOW,2,4,BATCH,2,4
7,NOW,NOW,3,4,MUTE,2,5,BATCH,4,3,MUTE,2,5,MUTE,2,5
8,MUTE,NOW,3,5,MUTE,3,5,MUTE,5,3,MUTE,3,5,MUTE,3,5
9,BATCH,NOW,3,6,MUTE,3,6,MUTE,5,4,NOW,3,6,NOW,3,6
10,BATCH,NOW,3,7,MUTE,3,7,MUTE,5,5,NOW,3,7,BATCH,4,6
11,NOW,NOW,4,7,MUTE,3,8,BATCH,5,6,NOW,4,7,BATCH,4,7
12,NOW,NOW,5,7,MUTE,3,9,NOW,6,6,NOW,5,7,BATCH,4,8
13,BATCH,NOW,5,8,MUTE,3,10,MUTE,6,7,NOW,5,8,BATCH,5,8
14,BATCH,NOW,5,9,MUTE,3,11,BATCH,7,7,MUTE,5,9,BATCH,6,8
15,BATCH,NOW,5,10,MUTE,3,12,MUTE,7,8,NOW,5,10,BATCH,7,8
16,BATCH,NOW,5,11,MUTE,3,13,MUTE,7,9,MUTE,5,11,BATCH,8,8
17,BATCH,NOW,5,12,MUTE,3,14,MUTE,7,10,BATCH,6,11,BATCH,9,8
18,BATCH,NOW,5,13,MUTE,3,15,MUTE,7,11,BATCH,7,11,BATCH,10,8
19,MUTE,NOW,5,14,MUTE,4,15,MUTE,8,11,BATCH,7,12,BATCH,10,9
20,BATCH,NOW,5,15,MUTE,4,16,MUTE,8,12,BATCH,8,12,BATCH,11,9
21,MUTE,NOW,5,16,MUTE,5,16,BATCH,8,13,BATCH,8,13,BATCH,11,10
22,BATCH,NOW,5,17,MUTE,5,17,BATCH,9,13,BATCH,9,13,BATCH,12,10
23,NOW,NOW,6,17,MUTE,5,18,BATCH,9,14,BATCH,9,14,MUTE,12,11
24,BATCH,NOW,6,18,MUTE,5,19,NOW,9,15,NOW,9,15,MUTE,12,12
25,MUTE,NOW,6,19,MUTE,6,19,MUTE,10,15,BATCH,9,16,BATCH,12,13
26,BATCH,NOW,6,20,MUTE,6,20,MUTE,10,16,MUTE,9,17,NOW,12,14
27,BATCH,NOW,6,21,MUTE,6,21,MUTE,10,17,BATCH,10,17,BATCH,13,14
28,BATCH,NOW,6,22,MUTE,6,22,NOW,10,18,NOW,10,18,MUTE,13,15
29,MUTE,NOW,6,23,MUTE,7,22,MUTE,11,18,BATCH,10,19,MUTE,14,15
30,NOW,NOW,7,23,MUTE,7,23,BATCH,11,19,BATCH,10,20,BATCH,14,16
31,MUTE,NOW,7,24,MUTE,8,23,MUTE,12,19,MUTE,11,20,NOW,14,17
32,NOW,NOW,8,24,MUTE,8,24,NOW,13,19,MUTE,11,21,MUTE,14,18
33,NOW,NOW,9,24,MUTE,8,25,BATCH,13,20,NOW,12,21,BATCH,14,19
34,MUTE,NOW,9,25,MUTE,9,25,MUTE,14,20,MUTE,13,21,BATCH,14,20
35,NOW,NOW,10,25,MUTE,9,26,BATCH,14,21,NOW,14,21,NOW,15,20
36,MUTE,NOW,10,26,MUTE,10,26,MUTE,15,21,BATCH,14,22,BATCH,15,21
37,MUTE,NOW,10,27,MUTE,11,26,MUTE,16,21,MUTE,15,22,MUTE,16,21
38,MUTE,NOW,10,28,MUTE,12,26,MUTE,17,21,BATCH,15,23,MUTE,17,21
39,BATCH,NOW,10,29,MUTE,12,27,MUTE,17,22,BATCH,16,23,BATCH,18,21
40,NOW,NOW,11,29,MUTE,12,28,BATCH,17,23,NOW,17,23,BATCH,18,22
41,NOW,NOW,12,29,MUTE,12,29,NOW,18,23,MUTE,17,24,MUTE,18,23
42,NOW,NOW,13,29,MUTE,12,30,BATCH,18,24,NOW,18,24,NOW,19,23
43,NOW,NOW,14,29,MUTE,12,31,NOW,19,24,MUTE,18,25,NOW,20,23
44,BATCH,NOW,14,30,MUTE,12,32,MUTE,19,25,BATCH,19,25,NOW,20,24
45,BATCH,NOW,14,31,MUTE,12,33,MUTE,19,26,BATCH,20,25,BATCH,21,24
46,NOW,NOW,15,31,MUTE,12,34,BATCH,19,27,BATCH,20,26,NOW,22,24
47,NOW,NOW,16,31,MUTE,12,35,MUTE,19,28,BATCH,20,27,MUTE,22,25
48,NOW,NOW,17,31,MUTE,12,36,NOW,20,28,NOW,21,27,BATCH,22,26
49,NOW,NOW,18,31,MUTE,12,37,MUTE,20,29,BATCH,21,28,BATCH,22,27
50,NOW,NOW,19,31,MUTE,12,38,MUTE,20,30,BATCH,21,29,BATCH,22,28
51,MUTE,NOW,19,32,MUTE,13,38,MUTE,21,30,NOW,21,30,MUTE,23,28
