step,true_action,ShowAll_choice,ShowAll_cum_rew,ShowAll_cum_reg,MuteAll_choice,MuteAll_cum_rew,MuteAll_cum_reg,RuleBased_choice,RuleBased_cum_rew,RuleBased_cum_reg,LinUCB_Tab_choice,LinUCB_Tab_cum_rew,LinUCB_Tab_cum_reg,LinUCB_Sem_choice,LinUCB_Sem_cum_rew,LinUCB_Sem_cum_reg
1,MUTE,NOW,-1.0,2.0,MUTE,1.0,0.0,MUTE,1.0,0.0,NOW,-1.0,2.0,NOW,-1.0,2.0
2,BATCH,NOW,-1.5,3.5,MUTE,0.5,1.5,BATCH,2.0,0.0,NOW,-1.5,3.5,MUTE,-1.5,3.5
3,BATCH,NOW,-2.0,5.0,MUTE,0.0,3.0,BATCH,3.0,0.0,MUTE,-2.0,5.0,BATCH,-0.5,3.5
4,NOW,NOW,-1.0,5.0,MUTE,-1.0,5.0,BATCH,3.0,1.0,BATCH,-2.0,6.0,BATCH,-0.5,4.5
5,MUTE,NOW,-2.0,7.0,MUTE,0.0,5.0,MUTE,4.0,1.0,MUTE,-1.0,6.0,MUTE,0.5,4.5
6,NOW,NOW,-1.0,7.0,MUTE,-1.0,7.0,BATCH,4.0,2.0,BATCH,-1.0,7.0,BATCH,0.5,5.5
7,NOW,NOW,0.0,7.0,MUTE,-2.0,9.0,BATCH,4.0,3.0,MUTE,-2.0,9.0,MUTE,-0.5,7.5
8,MUTE,NOW,-1.0,9.0,MUTE,-1.0,9.0,MUTE,5.0,3.0,MUTE,-1.0,9.0,MUTE,0.5,7.5
9,BATCH,NOW,-1.5,10.5,MUTE,-1.5,10.5,MUTE,4.5,4.5,BATCH,0.0,9.0,NOW,0.0,9.0
10,BATCH,NOW,-2.0,12.0,MUTE,-2.0,12.0,MUTE,4.0,6.0,BATCH,1.0,9.0,BATCH,1.0,9.0
11,NOW,NOW,-1.0,12.0,MUTE,-3.0,14.0,BATCH,4.0,7.0,BATCH,1.0,10.0,BATCH,1.0,10.0
12,NOW,NOW,0.0,12.0,MUTE,-4.0,16.0,NOW,5.0,7.0,MUTE,0.0,12.0,MUTE,0.0,12.0
13,BATCH,NOW,-0.5,13.5,MUTE,-4.5,17.5,MUTE,4.5,8.5,BATCH,1.0,12.0,BATCH,1.0,12.0
14,BATCH,NOW,-1.0,15.0,MUTE,-5.0,19.0,BATCH,5.5,8.5,BATCH,2.0,12.0,BATCH,2.0,12.0
15,BATCH,NOW,-1.5,16.5,MUTE,-5.5,20.5,MUTE,5.0,10.0,BATCH,3.0,12.0,BATCH,3.0,12.0
16,BATCH,NOW,-2.0,18.0,MUTE,-6.0,22.0,MUTE,4.5,11.5,BATCH,4.0,12.0,BATCH,4.0,12.0
17,BATCH,NOW,-2.5,19.5,MUTE,-6.5,23.5,MUTE,4.0,13.0,BATCH,5.0,12.0,BATCH,5.0,12.0
18,BATCH,NOW,-3.0,21.0,MUTE,-7.0,25.0,MUTE,3.5,14.5,BATCH,6.0,12.0,BATCH,6.0,12.0
19,MUTE,NOW,-4.0,23.0,MUTE,-6.0,25.0,MUTE,4.5,14.5,BATCH,5.8,13.2,BATCH,5.8,13.2
20,BATCH,NOW,-4.5,24.5,MUTE,-6.5,26.5,MUTE,4.0,16.0,BATCH,6.8,13.2,BATCH,6.8,13.2
21,MUTE,NOW,-5.5,26.5,MUTE,-5.5,26.5,BATCH,3.8,17.2,BATCH,6.6,14.399999999999999,BATCH,6.6,14.399999999999999
22,BATCH,NOW,-6.0,28.0,MUTE,-6.0,28.0,BATCH,4.8,17.2,BATCH,7.6,14.399999999999999,BATCH,7.6,14.399999999999999
23,NOW,NOW,-5.0,28.0,MUTE,-7.0,30.0,BATCH,4.8,18.2,BATCH,7.6,15.399999999999999,BATCH,7.6,15.399999999999999
24,BATCH,NOW,-5.5,29.5,MUTE,-7.5,31.5,NOW,4.3,19.7,BATCH,8.6,15.399999999999999,BATCH,8.6,15.399999999999999
25,MUTE,NOW,-6.5,31.5,MUTE,-6.5,31.5,MUTE,5.3,19.7,BATCH,8.4,16.599999999999998,BATCH,8.4,16.599999999999998
26,BATCH,NOW,-7.0,33.0,MUTE,-7.0,33.0,MUTE,4.8,21.2,BATCH,9.4,16.599999999999998,BATCH,9.4,16.599999999999998
27,BATCH,NOW,-7.5,34.5,MUTE,-7.5,34.5,MUTE,4.3,22.7,BATCH,10.4,16.599999999999998,BATCH,10.4,16.599999999999998
28,BATCH,NOW,-8.0,36.0,MUTE,-8.0,36.0,NOW,3.8,24.2,NOW,9.9,18.099999999999998,NOW,9.9,18.099999999999998
29,MUTE,NOW,-9.0,38.0,MUTE,-7.0,36.0,MUTE,4.8,24.2,MUTE,10.9,18.099999999999998,MUTE,10.9,18.099999999999998
30,NOW,NOW,-8.0,38.0,MUTE,-8.0,38.0,BATCH,4.8,25.2,BATCH,10.9,19.099999999999998,BATCH,10.9,19.099999999999998
31,MUTE,NOW,-9.0,40.0,MUTE,-7.0,38.0,MUTE,5.8,25.2,MUTE,11.9,19.099999999999998,NOW,9.9,21.099999999999998
32,NOW,NOW,-8.0,40.0,MUTE,-8.0,40.0,NOW,6.8,25.2,BATCH,11.9,20.099999999999998,BATCH,9.9,22.099999999999998
33,NOW,NOW,-7.0,40.0,MUTE,-9.0,42.0,BATCH,6.8,26.2,BATCH,11.9,21.099999999999998,BATCH,9.9,23.099999999999998
34,MUTE,NOW,-8.0,42.0,MUTE,-8.0,42.0,MUTE,7.8,26.2,MUTE,12.9,21.099999999999998,BATCH,9.700000000000001,24.299999999999997
35,NOW,NOW,-7.0,42.0,MUTE,-9.0,44.0,BATCH,7.8,27.2,BATCH,12.9,22.099999999999998,BATCH,9.700000000000001,25.299999999999997
36,MUTE,NOW,-8.0,44.0,MUTE,-8.0,44.0,MUTE,8.8,27.2,BATCH,12.700000000000001,23.299999999999997,BATCH,9.500000000000002,26.499999999999996
37,MUTE,NOW,-9.0,46.0,MUTE,-7.0,44.0,MUTE,9.8,27.2,MUTE,13.700000000000001,23.299999999999997,MUTE,10.500000000000002,26.499999999999996
38,MUTE,NOW,-10.0,48.0,MUTE,-6.0,44.0,MUTE,10.8,27.2,BATCH,13.500000000000002,24.499999999999996,BATCH,10.300000000000002,27.699999999999996
39,BATCH,NOW,-10.5,49.5,MUTE,-6.5,45.5,MUTE,10.3,28.7,BATCH,14.500000000000002,24.499999999999996,MUTE,9.800000000000002,29.199999999999996
40,NOW,NOW,-9.5,49.5,MUTE,-7.5,47.5,BATCH,10.3,29.7,BATCH,14.500000000000002,25.499999999999996,BATCH,9.800000000000002,30.199999999999996
41,NOW,NOW,-8.5,49.5,MUTE,-8.5,49.5,NOW,11.3,29.7,MUTE,13.500000000000002,27.499999999999996,MUTE,8.800000000000002,32.199999999999996
42,NOW,NOW,-7.5,49.5,MUTE,-9.5,51.5,BATCH,11.3,30.7,NOW,14.500000000000002,27.499999999999996,NOW,9.800000000000002,32.199999999999996
